Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
Brooklyn,Crown Heights (North),Crown Heights Franklin Ave Food Scrap Drop-off,Franklin Avenue & Eastern Parkway,GrowNYC,Year Round,Thursdays (Start Time: 8:30 AM - End Time:  11:30 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,308,35,,,,40.670745,-73.957743,77,6859,POINT (-73.957743 40.670745)
Queens,Astoria (East)-Woodside (North),SE 38th Street & 31st Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7032,
Brooklyn,Bushwick (East),NW Central Avenue & Linden Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6956,
Brooklyn,Bedford-Stuyvesant (West),SE Nostrand Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,6895,
Manhattan,Hell's Kitchen,10th Avenue and 43rd Street,"Southeast corner of 10th Avenue and 43rd Street, New York, 10036",LES Ecology Center,Year Round,Tuesdays (Start Time: 9 AM - End Time:  12 PM),"Not accepted: meat, bones, or dairy",www.lesecologycenter.org,104,3,,,,40.7601267,-73.9949035,10,6736,POINT (-73.9949035 40.7601267)
Bronx,Throgs Neck-Schuylerville,The Garden at Preston,"2780 Schurz Ave, The Bronx, NY 10465 (Intersection of Schurz Avenue and Huntington Avenue)",Northeast Bronx Farmers Market Project,March- November,Tuesdays (Start Time: 4:00 PM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/northeastbronxcommunityfarmersmarket/,210,13,,,,40.8139813,-73.8190803,45,7127,POINT (-73.8190803 40.8139813)
Brooklyn,Crown Heights (North),NE Kingston Avenue & St. Johns Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,6868,
Bronx,Belmont,NE Bathgate Avenue & East 189th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,,,,,,48,7106,
Manhattan,East Village,Down to Earth Garden (formerly Children's Garden),"546 East 12th St, New York, NY 10009",Down to Earth Garden,Year Round,"Tuesdays and Sundays (Start Time: Tuesday: 1:30PM, Sunday 12:00pm - End Time:  Tuesday 4pm, Sunday 4pm)","Keep food scraps and plant material separated. This site accepts meat, fish, and dairy",https://downtoearthgarden.org/,103,2,,,,40.7280614,-73.9792926,9,6923,POINT (-73.9792926 40.7280614)
Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,*CLOSED FOR THE SEASON* Manor Heights,"Woodward Ave and Woolley Ave, 10314",Snug Harbor Youth,Year Round,Thursdays (Start Time: 4:00 PM - End Time:  5:30 PM),"Not accepted: meat, bones, or dairy",snug-harbor.org,502,50,,,,40.605671,-74.140879,121,7155,POINT (-74.140879 40.605671)
Brooklyn,Bushwick (East),NE Knickerbocker Avenue & Covert Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6968,
Manhattan,Financial District-Battery Park City,SmartComposting: Maiden Lane & Pearl Street,Maiden Lane and Pearl Streets (Northwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.70688,-74.00684,1,6709,POINT (-74.00684 40.70688)
Queens,Elmhurst,Terraza 7,"40-19 Gleane Street, Elmhurst, NY, 11373",,Year Round,Sundays (Start Time: 9:30 AM - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",https://terraza7.com/,404,25,,,,40.7475361,-73.8820084,110,7020,POINT (-73.8820084 40.7475361)
Bronx,Crotona Park East,Bronx River House / Starlight Park,1490 Sheridan Blvd,Bronx River Alliance,Year Round,Fridays (Start Time: 9:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",www.bronxriver.org,209,17,,,,40.8328527,-73.8830803,43,7005,POINT (-73.8830803 40.8328527)
Manhattan,Chelsea-Hudson Yards,8th Ave & 24th St,"W 24th St. and 8th Ave., New York, NY, 1001 (Collection bins are on the northwest corner of W 24th St and 8th Ave., near subway exit)",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,104,3,,,,40.745331,-73.998272,10,6741,POINT (-73.998272 40.745331)
Brooklyn,Crown Heights (North),NW New York Avenue & Lincoln Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,6863,
Manhattan,East Harlem (North),SE Pleasant Avenue & East 116th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,,,,,,25,6808,
